name,message,room,time
陳冠傑,DS,全體聊天室,2023-12-28 09:23:43.408593+08:00
宇辰1,5ET,全體聊天室,2023-12-28 09:23:43.534295+08:00
makoto,w,全體聊天室,2023-12-28 09:23:43.542236+08:00
53,dslg,全體聊天室,2023-12-28 09:23:43.600149+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:43.605834+08:00
宇辰1,W5,全體聊天室,2023-12-28 09:23:43.704317+08:00
makoto,w,全體聊天室,2023-12-28 09:23:43.719611+08:00
53,ldsg,全體聊天室,2023-12-28 09:23:43.798054+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:43.809641+08:00
宇辰1,TEW5,全體聊天室,2023-12-28 09:23:43.868317+08:00
makoto,w,全體聊天室,2023-12-28 09:23:43.887617+08:00
53,lds,全體聊天室,2023-12-28 09:23:44.004000+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:44.031271+08:00
宇辰1,ET5W,全體聊天室,2023-12-28 09:23:44.055084+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.067311+08:00
陳冠傑,S,全體聊天室,2023-12-28 09:23:44.197003+08:00
宇辰1,TE5W,全體聊天室,2023-12-28 09:23:44.205491+08:00
53,glds,全體聊天室,2023-12-28 09:23:44.221167+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.233164+08:00
宇辰1,5TE,全體聊天室,2023-12-28 09:23:44.375202+08:00
陳冠傑,D,全體聊天室,2023-12-28 09:23:44.388557+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.407509+08:00
53,lgds,全體聊天室,2023-12-28 09:23:44.423670+08:00
yii,1,全體聊天室,2023-12-28 09:23:44.521702+08:00
宇辰1,W5E,全體聊天室,2023-12-28 09:23:44.539473+08:00
陳冠傑,DS,全體聊天室,2023-12-28 09:23:44.570081+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.577301+08:00
53,lgdsl,全體聊天室,2023-12-28 09:23:44.689671+08:00
宇辰1,WT5TE,全體聊天室,2023-12-28 09:23:44.701600+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.752783+08:00
陳冠傑,D,全體聊天室,2023-12-28 09:23:44.781290+08:00
宇辰1,W5,全體聊天室,2023-12-28 09:23:44.869336+08:00
53,glds,全體聊天室,2023-12-28 09:23:44.905361+08:00
makoto,w,全體聊天室,2023-12-28 09:23:44.922621+08:00
陳冠傑,DS,全體聊天室,2023-12-28 09:23:44.966961+08:00
宇辰1,ETW5,全體聊天室,2023-12-28 09:23:45.043575+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.092593+08:00
53,lg,全體聊天室,2023-12-28 09:23:45.135743+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:45.166520+08:00
yii,1,全體聊天室,2023-12-28 09:23:45.201372+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.252438+08:00
53,dslg,全體聊天室,2023-12-28 09:23:45.348635+08:00
陳冠傑,DS,全體聊天室,2023-12-28 09:23:45.359733+08:00
宇辰1,TEW5,全體聊天室,2023-12-28 09:23:45.361630+08:00
王維彤,kqnfHFoJfnAsf,全體聊天室,2023-12-28 09:23:45.384166+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.420648+08:00
陳冠傑,DS,全體聊天室,2023-12-28 09:23:45.518335+08:00
53,ldsg,全體聊天室,2023-12-28 09:23:45.568392+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.582121+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:45.710908+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.752817+08:00
53,lds,全體聊天室,2023-12-28 09:23:45.771972+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:45.884535+08:00
makoto,w,全體聊天室,2023-12-28 09:23:45.918154+08:00
53,lgsdl,全體聊天室,2023-12-28 09:23:45.990599+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:46.088109+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.093092+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.260005+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:46.284629+08:00
53,gldsgl,全體聊天室,2023-12-28 09:23:46.344849+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.434505+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:46.451690+08:00
yii,1,全體聊天室,2023-12-28 09:23:46.552063+08:00
53,ds,全體聊天室,2023-12-28 09:23:46.570095+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.597594+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:46.626626+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.757643+08:00
53,gsd,全體聊天室,2023-12-28 09:23:46.766661+08:00
陳冠傑,SD,全體聊天室,2023-12-28 09:23:46.813059+08:00
makoto,w,全體聊天室,2023-12-28 09:23:46.938089+08:00
陳冠傑,S,全體聊天室,2023-12-28 09:23:46.979491+08:00
53,lgls,全體聊天室,2023-12-28 09:23:47.010130+08:00
makoto,w,全體聊天室,2023-12-28 09:23:47.078765+08:00
yii,1,全體聊天室,2023-12-28 09:23:47.119376+08:00
陳冠傑,DFG,全體聊天室,2023-12-28 09:23:47.163667+08:00
53,dgl,全體聊天室,2023-12-28 09:23:47.276510+08:00
53,sdlg,全體聊天室,2023-12-28 09:23:47.497256+08:00
yii,1,全體聊天室,2023-12-28 09:23:47.553171+08:00
陳冠傑,DDF,全體聊天室,2023-12-28 09:23:47.701716+08:00
53,lds,全體聊天室,2023-12-28 09:23:47.713125+08:00
yii,1,全體聊天室,2023-12-28 09:23:47.749632+08:00
makoto,afmkfsbhdjgkjfajd,全體聊天室,2023-12-28 09:23:47.752979+08:00
陳冠傑,FS,全體聊天室,2023-12-28 09:23:47.879893+08:00
王維彤,qfkqnfqihf,全體聊天室,2023-12-28 09:23:47.937774+08:00
yii,1,全體聊天室,2023-12-28 09:23:47.991662+08:00
陳冠傑,FD,全體聊天室,2023-12-28 09:23:48.037024+08:00
makoto,jkg,全體聊天室,2023-12-28 09:23:48.059587+08:00
yii,1,全體聊天室,2023-12-28 09:23:48.184511+08:00
宇辰1,K4K4K4K4K44K4K4KK4J,全體聊天室,2023-12-28 09:23:48.228699+08:00
yii,1,全體聊天室,2023-12-28 09:23:48.361212+08:00
宇辰1,J,全體聊天室,2023-12-28 09:23:48.389669+08:00
yii,1,全體聊天室,2023-12-28 09:23:48.537683+08:00
宇辰1,J,全體聊天室,2023-12-28 09:23:48.548919+08:00
makoto,adoJdfak,全體聊天室,2023-12-28 09:23:48.618935+08:00
